symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,es_outlier_iqr
3,122.0,Alfa-Romero,Gas,Std,Two,Convertible,Rwd,Front,88.6,168.8,64.1,48.8,2548,Dohc,Four,130,Mpfi,3.47,2.68,9.0,111.0,5000.0,21,27,13495.0,False
3,122.0,Alfa-Romero,Gas,Std,Two,Convertible,Rwd,Front,88.6,168.8,64.1,48.8,2548,Dohc,Four,130,Mpfi,3.47,2.68,9.0,111.0,5000.0,21,27,16500.0,False
1,122.0,Alfa-Romero,Gas,Std,Two,Hatchback,Rwd,Front,94.5,171.2,65.5,52.4,2823,Ohcv,Six,152,Mpfi,2.68,3.47,9.0,154.0,5000.0,19,26,16500.0,False
2,164.0,Audi,Gas,Std,Four,Sedan,Fwd,Front,99.8,176.6,66.2,54.3,2337,Ohc,Four,109,Mpfi,3.19,3.4,10.0,102.0,5500.0,24,30,13950.0,False
2,164.0,Audi,Gas,Std,Four,Sedan,4Wd,Front,99.4,176.6,66.4,54.3,2824,Ohc,Five,136,Mpfi,3.19,3.4,8.0,115.0,5500.0,18,22,17450.0,False
2,122.0,Audi,Gas,Std,Two,Sedan,Fwd,Front,99.8,177.3,66.3,53.1,2507,Ohc,Five,136,Mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,15250.0,False
1,158.0,Audi,Gas,Std,Four,Sedan,Fwd,Front,105.8,192.7,71.4,55.7,2844,Ohc,Five,136,Mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,17710.0,True
1,122.0,Audi,Gas,Std,Four,Wagon,Fwd,Front,105.8,192.7,71.4,55.7,2954,Ohc,Five,136,Mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,18920.0,True
1,158.0,Audi,Gas,Turbo,Four,Sedan,Fwd,Front,105.8,192.7,71.4,55.9,3086,Ohc,Five,131,Mpfi,3.13,3.4,8.3,140.0,5500.0,17,20,23875.0,True
0,122.0,Audi,Gas,Turbo,Two,Hatchback,4Wd,Front,99.5,178.2,67.9,52.0,3053,Ohc,Five,131,Mpfi,3.13,3.4,7.0,160.0,5500.0,16,22,0.0,True
2,192.0,Bmw,Gas,Std,Two,Sedan,Rwd,Front,101.2,176.8,64.8,54.3,2395,Ohc,Four,108,Mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16430.0,True
0,192.0,Bmw,Gas,Std,Four,Sedan,Rwd,Front,101.2,176.8,64.8,54.3,2395,Ohc,Four,108,Mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16925.0,True
0,188.0,Bmw,Gas,Std,Two,Sedan,Rwd,Front,101.2,176.8,64.8,54.3,2710,Ohc,Six,164,Mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,20970.0,False
0,188.0,Bmw,Gas,Std,Four,Sedan,Rwd,Front,101.2,176.8,64.8,54.3,2765,Ohc,Six,164,Mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,21105.0,False
1,122.0,Bmw,Gas,Std,Four,Sedan,Rwd,Front,103.5,189.0,66.9,55.7,3055,Ohc,Six,164,Mpfi,3.31,3.19,9.0,121.0,4250.0,20,25,24565.0,False
0,122.0,Bmw,Gas,Std,Four,Sedan,Rwd,Front,103.5,189.0,66.9,55.7,3230,Ohc,Six,209,Mpfi,3.62,3.39,8.0,182.0,5400.0,16,22,30760.0,True
0,122.0,Bmw,Gas,Std,Two,Sedan,Rwd,Front,103.5,193.8,67.9,53.7,3380,Ohc,Six,209,Mpfi,3.62,3.39,8.0,182.0,5400.0,16,22,41315.0,True
0,122.0,Bmw,Gas,Std,Four,Sedan,Rwd,Front,110.0,197.0,70.9,56.3,3505,Ohc,Six,209,Mpfi,3.62,3.39,8.0,182.0,5400.0,15,20,36880.0,True
