ID_Venta,Marca,Pais_Origen,Tipo_Carroceria,Tipo_Combustible,Caballos_Fuerza,Precio_Catalogo_Original,Sede,Ciudad_Sede,Precio_Construccion,Precio_Publico,Cantidad_Vendida,Anio_Venta
1,Alfa-Romero,Italia,Convertible,Gas,111.0,13495.0,Carworld Pacifico,Cali,8512.0,14204.0,143.0,2025-01-01
2,Alfa-Romero,Italia,Convertible,Gas,103.59358288770053,16500.0,Velocitymotors,Bucaramanga,9289.0,19214.0,121.0,2026-01-01
3,Alfa-Romero,Italia,Hatchback,Gas,154.0,16500.0,Drivehub Caribe,Barranquilla,9913.0,19322.0,140.0,2026-01-01
4,Audi,Alemania,Sedan,Gas,102.0,13950.0,Velocitymotors,Bucaramanga,8361.0,15372.0,147.0,2026-01-01
5,Audi,Alemania,Sedan,Gas,115.0,17450.0,Velocitymotor,Bucaramanga,12028.0,19539.0,81.0,2026-01-01
6,Audi,Alemania,Sedan,Gas,110.0,"$15,250",Motorcenter Sur,Medellin,10560.0,17499.0,138.0,2025-01-01
7,Audi,Alemania,Sedan,Gas,110.0,17710.0,Drivehub Caribe,Barranquilla,10265.0,18723.0,129.0,2026-01-01
8,Audi,Alemania,Wagon,Gas,110.0,18920.0,Drivehub Caribe,Barranquilla,14181.0,22560.0,135.0,2024-01-01
9,Audi,Alemania,Sedan,Gas,140.0,"$23,875",Drivehub Caribe,Barranquilla,14405.0,28244.0,90.0,2026-01-01
10,Bmw,Alemania,Sedan,Gas,101.0,"$16,430",Velocitymotors,Bucaramanga,12246.0,17894.0,178.0,2023-01-01
11,Bmw,Alemania,Sedan,Gas,101.0,16925.0,Carworld Pacifico,Cali,10700.0,17810.0,162.0,2023-01-01
12,Bmw,Alemania,Sedan,Gas,121.0,"$20,970",Drive Hub Caribe,Barranquilla,11672.0,24955.0,106.0,2026-01-01
13,Bmw,Alemania,Sedan,Gas,121.0,21105.0,Primeauto Andino,Pereira,13064.0,23746.0,134.0,2026-01-01
14,Bmw,Alemania,Sedan,Gas,121.0,24565.0,Velocitymotors,Bucaramanga,16627.0,27781.0,108.0,2026-01-01
15,Bmw,Alemania,Sedan,Gas,182.0,"$30,760",Motorcenter Sur,Medellin,21106.0,35454.0,73.0,2026-01-01
16,Bmw,Alemania,Sedan,Gas,182.0,41315.0,Carworld Pacifico,Cali,8545.25925925926,47197.0,34.0,2024-01-01
17,Bmw,Alemania,Sedan,Gas,182.0,36880.0,Primeauto Andino,Pereira,8545.25925925926,43946.0,36.0,2026-01-01
18,Chevrolet,Estados Unidos,Hatchback,Gas,48.0,5151.0,Primeauto Andino,Pereira,3403.0,6138.0,192.0,2026-01-01
19,Chevrolet,Estados Unidos,Hatchback,Gas,70.0,"$6,295",Motor Center Sur,Medellin,4208.0,7429.0,195.0,2024-01-01
20,Chevrolet,Estados Unidos,Sedan,Gas,70.0,"$6,575",Carworld Pacifico,Cali,3723.0,7531.0,213.0,2024-01-01
21,Dodge,Estados Unidos,Hatchback,Gas,68.0,"$5,572",Velocitymotors,Bucaramanga,3477.0,6520.0,190.0,2024-01-01
22,Dodge,Estados Unidos,Hatchback,Gas,68.0,6377.0,Autoplaza Norte,Bogota,3816.0,7344.0,176.0,2026-01-01
23,Dodge,Estados Unidos,Hatchback,Gas,103.59358288770053,7957.0,Carworld Pacifico,Cali,5654.0,9039.0,146.0,2024-01-01
24,Dodge,Estados Unidos,Hatchback,Gas,68.0,"$6,229",Motorcenter Sur,Medellin,4012.0,6661.0,215.0,2026-01-01
25,Dodge,Estados Unidos,Sedan,Gas,68.0,6692.0,Primeauto Andino,Pereira,4997.0,7841.0,177.0,2026-01-01
26,Dodge,Estados Unidos,Sedan,Gas,68.0,7609.0,Velocitymotors,Bucaramanga,4792.0,8926.0,185.0,2026-01-01
