ID_Venta,Marca,Pais_Origen,Tipo_Carroceria,Tipo_Combustible,Caballos_Fuerza,Precio_Catalogo_Original,Sede,Ciudad_Sede,Precio_Construccion,Precio_Publico,Cantidad_Vendida,Anio_Venta
1,Alfa-Romero,Italia,convertible,gas,111.0,13495.0,CarWorld Pacifico,Cali,8512.0,14204.0,143,2025
2,Alfa-Romero,Italia,convertible,gas,111.0,16500.0,VelocityMotors,Bucaramanga,9289.0,19214.0,121,2023
3,Alfa-Romero,Italia,hatchback,gas,154.0,16500.0,DriveHub Caribe,Barranquilla,9913.0,19322.0,140,2026
4,Audi,Alemania,sedan,gas,102.0,13950.0,VelocityMotors,Bucaramanga,8361.0,15372.0,147,2026
5,Audi,Alemania,sedan,gas,115.0,17450.0,VelocityMotors,Bucaramanga,12028.0,19539.0,81,2023
6,Audi,Alemania,sedan,gas,110.0,15250.0,MotorCenter Sur,Medellin,10560.0,17499.0,138,2025
7,Audi,Alemania,sedan,gas,110.0,17710.0,DriveHub Caribe,Barranquilla,10265.0,18723.0,129,2026
8,Audi,Alemania,wagon,gas,110.0,18920.0,DriveHub Caribe,Barranquilla,14181.0,22560.0,135,2024
9,Audi,Alemania,sedan,gas,140.0,23875.0,DriveHub Caribe,Barranquilla,14405.0,28244.0,90,2023
10,Bmw,Alemania,sedan,gas,101.0,16430.0,VelocityMotors,Bucaramanga,12246.0,17894.0,178,2023
11,Bmw,Alemania,sedan,gas,101.0,16925.0,CarWorld Pacifico,Cali,10700.0,17810.0,162,2023
12,Bmw,Alemania,sedan,gas,121.0,20970.0,DriveHub Caribe,Barranquilla,11672.0,24955.0,106,2026
13,Bmw,Alemania,sedan,gas,121.0,21105.0,PrimeAuto Andino,Pereira,13064.0,23746.0,134,2026
14,Bmw,Alemania,sedan,gas,121.0,24565.0,VelocityMotors,Bucaramanga,16627.0,27781.0,108,2023
15,Bmw,Alemania,sedan,gas,182.0,30760.0,MotorCenter Sur,Medellin,21106.0,35454.0,73,2024
16,Bmw,Alemania,sedan,gas,182.0,41315.0,CarWorld Pacifico,Cali,27110.0,47197.0,34,2024
17,Bmw,Alemania,sedan,gas,182.0,36880.0,PrimeAuto Andino,Pereira,23587.0,43946.0,36,2024
18,Chevrolet,Estados Unidos,hatchback,gas,48.0,5151.0,PrimeAuto Andino,Pereira,3403.0,6138.0,192,2026
19,Chevrolet,Estados Unidos,hatchback,gas,70.0,6295.0,MotorCenter Sur,Medellin,4208.0,7429.0,195,2024
20,Chevrolet,Estados Unidos,sedan,gas,70.0,6575.0,CarWorld Pacifico,Cali,3723.0,7531.0,213,2024
21,Dodge,Estados Unidos,hatchback,gas,68.0,5572.0,VelocityMotors,Bucaramanga,3477.0,6520.0,190,2024
22,Dodge,Estados Unidos,hatchback,gas,68.0,6377.0,AutoPlaza Norte,Bogota,3816.0,7344.0,176,2025
23,Dodge,Estados Unidos,hatchback,gas,102.0,7957.0,CarWorld Pacifico,Cali,5654.0,9039.0,146,2024
24,Dodge,Estados Unidos,hatchback,gas,68.0,6229.0,MotorCenter Sur,Medellin,4012.0,6661.0,215,2026
25,Dodge,Estados Unidos,sedan,gas,68.0,6692.0,PrimeAuto Andino,Pereira,4997.0,7841.0,177,2024
26,Dodge,Estados Unidos,sedan,gas,68.0,7609.0,VelocityMotors,Bucaramanga,4792.0,8926.0,185,2026
27,Dodge,Estados Unidos,sedan,gas,102.0,8558.0,CarWorld Pacifico,Cali,6104.0,9789.0,202,2025
28,Dodge,Estados Unidos,wagon,gas,88.0,8921.0,AutoPlaza Norte,Bogota,6331.0,10465.0,174,2023
29,Dodge,Estados Unidos,hatchback,gas,145.0,12964.0,AutoPlaza Norte,Bogota,7521.0,14879.0,150,2025
30,Honda,Japon,hatchback,gas,58.0,6479.0,DriveHub Caribe,Barranquilla,4222.0,7004.0,206,2026
31,Honda,Japon,hatchback,gas,76.0,6855.0,DriveHub Caribe,Barranquilla,4724.0,7479.0,189,2026
32,Honda,Japon,hatchback,gas,60.0,5399.0,MotorCenter Sur,Medellin,3896.0,5843.0,198,2025
33,Honda,Japon,hatchback,gas,76.0,6529.0,CarWorld Pacifico,Cali,4017.0,7225.0,161,2025
34,Honda,Japon,hatchback,gas,76.0,7129.0,CarWorld Pacifico,Cali,4235.0,7527.0,200,2026
35,Honda,Japon,sedan,gas,76.0,7295.0,PrimeAuto Andino,Pereira,5050.0,8336.0,185,2025
36,Honda,Japon,wagon,gas,76.0,7295.0,PrimeAuto Andino,Pereira,5193.0,8028.0,160,2023
37,Honda,Japon,hatchback,gas,86.0,7895.0,PrimeAuto Andino,Pereira,4893.0,9066.0,183,2026
38,Honda,Japon,hatchback,gas,86.0,9095.0,DriveHub Caribe,Barranquilla,5177.0,10076.0,141,2024
39,Honda,Japon,sedan,gas,86.0,8845.0,CarWorld Pacifico,Cali,6529.0,10192.0,207,2025
40,Honda,Japon,sedan,gas,86.0,10295.0,CarWorld Pacifico,Cali,6481.0,11336.0,150,2024
41,Honda,Japon,sedan,gas,101.0,12945.0,AutoPlaza Norte,Bogota,8460.0,14098.0,180,2023
