ID_Venta,Marca,Pais_Origen,Tipo_Carroceria,Tipo_Combustible,Caballos_Fuerza,Precio_Catalogo_Original,Sede,Ciudad_Sede,Precio_Construccion,Precio_Publico,Cantidad_Vendida,Anio_Venta,Antiguedad_Vehiculo,Ingreso_Total,Categoria_Precio
1,Alfa-Romero,Italia,Convertible,Gas,111.0,13495.0,Carworld Pacifico,Cali,8512.0,14204.0,143.0,2025,1,2031172.0,Medio
2,Alfa-Romero,Italia,Convertible,Gas,103.59358288770053,16500.0,Velocity Motors,Bucaramanga,9289.0,19214.0,121.0,2023,3,2324894.0,Medio
3,Alfa-Romero,Italia,Hatchback,Gas,154.0,16500.0,Drivehub Caribe,Barranquilla,9913.0,19322.0,140.0,2026,0,2705080.0,Medio
4,Audi,Alemania,Sedan,Gas,102.0,13950.0,Velocity Motors,Bucaramanga,8361.0,15372.0,147.0,2026,0,2259684.0,Medio
5,Audi,Alemania,Sedan,Gas,115.0,17450.0,Velocity Motors,Bucaramanga,12028.0,19539.0,81.0,2023,3,1582659.0,Medio
6,Audi,Alemania,Sedan,Gas,110.0,15250.0,Motorcenter Sur,Medellin,10560.0,17499.0,138.0,2025,1,2414862.0,Medio
7,Audi,Alemania,Sedan,Gas,110.0,17710.0,Drivehub Caribe,Barranquilla,10265.0,18723.0,129.0,2026,0,2415267.0,Medio
8,Audi,Alemania,Wagon,Gas,110.0,18920.0,Drivehub Caribe,Barranquilla,14181.0,22560.0,135.0,2024,2,3045600.0,Alto
9,Audi,Alemania,Sedan,Gas,140.0,23875.0,Drivehub Caribe,Barranquilla,14405.0,28244.0,90.0,2023,3,2541960.0,Alto
10,Bmw,Alemania,Sedan,Gas,101.0,16430.0,Velocity Motors,Bucaramanga,12246.0,17894.0,178.0,2023,3,3185132.0,Medio
11,Bmw,Alemania,Sedan,Gas,101.0,16925.0,Carworld Pacifico,Cali,10700.0,17810.0,162.0,2023,3,2885220.0,Medio
12,Bmw,Alemania,Sedan,Gas,121.0,20970.0,Drivehub Caribe,Barranquilla,11672.0,24955.0,106.0,2026,0,2645230.0,Alto
13,Bmw,Alemania,Sedan,Gas,121.0,21105.0,Primeauto Andino,Pereira,13064.0,23746.0,134.0,2026,0,3181964.0,Alto
14,Bmw,Alemania,Sedan,Gas,121.0,24565.0,Velocity Motors,Bucaramanga,16627.0,27781.0,108.0,2023,3,3000348.0,Alto
15,Bmw,Alemania,Sedan,Gas,182.0,30760.0,Motorcenter Sur,Medellin,21106.0,35454.0,73.0,2024,2,2588142.0,Premium
16,Bmw,Alemania,Sedan,Gas,182.0,41315.0,Carworld Pacifico,Cali,8545.25925925926,47197.0,34.0,2024,2,1604698.0,Premium
17,Bmw,Alemania,Sedan,Gas,182.0,36880.0,Primeauto Andino,Pereira,8545.25925925926,43946.0,36.0,2024,2,1582056.0,Premium
18,Chevrolet,Estados Unidos,Hatchback,Gas,48.0,5151.0,Primeauto Andino,Pereira,3403.0,6138.0,192.0,2026,0,1178496.0,Economico
19,Chevrolet,Estados Unidos,Hatchback,Gas,70.0,6295.0,Motorcenter Sur,Medellin,4208.0,7429.0,195.0,2024,2,1448655.0,Economico
20,Chevrolet,Estados Unidos,Sedan,Gas,70.0,6575.0,Carworld Pacifico,Cali,3723.0,7531.0,213.0,2024,2,1604103.0,Economico
21,Dodge,Estados Unidos,Hatchback,Gas,68.0,5572.0,Velocity Motors,Bucaramanga,3477.0,6520.0,190.0,2024,2,1238800.0,Economico
22,Dodge,Estados Unidos,Hatchback,Gas,68.0,6377.0,Autoplaza Norte,Bogota,3816.0,7344.0,176.0,2025,1,1292544.0,Economico
23,Dodge,Estados Unidos,Hatchback,Gas,103.59358288770053,7957.0,Carworld Pacifico,Cali,5654.0,9039.0,146.0,2024,2,1319694.0,Economico
24,Dodge,Estados Unidos,Hatchback,Gas,68.0,6229.0,Motorcenter Sur,Medellin,4012.0,6661.0,215.0,2026,0,1432115.0,Economico
25,Dodge,Estados Unidos,Sedan,Gas,68.0,6692.0,Primeauto Andino,Pereira,4997.0,7841.0,177.0,2026,0,1387857.0,Economico
26,Dodge,Estados Unidos,Sedan,Gas,68.0,7609.0,Velocity Motors,Bucaramanga,4792.0,8926.0,185.0,2026,0,1651310.0,Economico
27,Dodge,Estados Unidos,Sedan,Gas,102.0,8558.0,Carworld Pacifico,Cali,6104.0,9789.0,202.0,2025,1,1977378.0,Economico
28,Dodge,Estados Unidos,Wagon,Gas,88.0,8921.0,Autoplaza Norte,Bogota,6331.0,10465.0,174.0,2023,3,1820910.0,Medio
29,Dodge,Estados Unidos,Hatchback,Gas,145.0,12964.0,Autoplaza Norte,Bogota,7521.0,14879.0,150.0,2025,1,2231850.0,Medio
30,Honda,Japon,Hatchback,Gas,58.0,6479.0,Drivehub Caribe,Barranquilla,8545.25925925926,7004.0,206.0,2026,0,1442824.0,Economico
31,Honda,Japon,Hatchback,Gas,76.0,6855.0,Drivehub Caribe,Barranquilla,4724.0,7479.0,189.0,2026,0,1413531.0,Economico
32,Honda,Japon,Hatchback,Gas,60.0,5399.0,Motorcenter Sur,Medellin,3896.0,5843.0,198.0,2025,1,1156914.0,Economico
33,Honda,Japon,Hatchback,Gas,76.0,6529.0,Carworld Pacifico,Cali,4017.0,7225.0,161.0,2025,1,1163225.0,Economico
