ID_Venta,Caballos_Fuerza,Precio_Catalogo_Original,Precio_Construccion,Precio_Publico,Cantidad_Vendida,Anio_Venta,Antiguedad_Vehiculo,Ingreso_Total,Categoria_Precio,ID_Pais_Origen,ID_Tipo_Carroceria,ID_Tipo_Combustible,ID_Marca,ID_Sede
1,111.0,13495.0,8512.0,14204.0,143.0,2025,1,2031172.0,Medio,1,1,1,1,1
2,103.59358288770052,16500.0,9289.0,19214.0,121.0,2023,3,2324894.0,Medio,1,1,1,1,2
3,154.0,16500.0,9913.0,19322.0,140.0,2026,0,2705080.0,Medio,1,2,1,1,3
4,102.0,13950.0,8361.0,15372.0,147.0,2026,0,2259684.0,Medio,2,3,1,2,2
5,115.0,17450.0,12028.0,19539.0,81.0,2023,3,1582659.0,Medio,2,3,1,2,2
6,110.0,15250.0,10560.0,17499.0,138.0,2025,1,2414862.0,Medio,2,3,1,2,4
7,110.0,17710.0,10265.0,18723.0,129.0,2026,0,2415267.0,Medio,2,3,1,2,3
8,110.0,18920.0,14181.0,22560.0,135.0,2024,2,3045600.0,Alto,2,4,1,2,3
9,140.0,23875.0,14405.0,28244.0,90.0,2023,3,2541960.0,Alto,2,3,1,2,3
10,101.0,16430.0,12246.0,17894.0,178.0,2023,3,3185132.0,Medio,2,3,1,3,2
11,101.0,16925.0,10700.0,17810.0,162.0,2023,3,2885220.0,Medio,2,3,1,3,1
12,121.0,20970.0,11672.0,24955.0,106.0,2026,0,2645230.0,Alto,2,3,1,3,3
13,121.0,21105.0,13064.0,23746.0,134.0,2026,0,3181964.0,Alto,2,3,1,3,5
14,121.0,24565.0,16627.0,27781.0,108.0,2023,3,3000348.0,Alto,2,3,1,3,2
15,182.0,30760.0,21106.0,35454.0,73.0,2024,2,2588142.0,Premium,2,3,1,3,4
16,182.0,41315.0,8545.25925925926,47197.0,34.0,2024,2,1604698.0,Premium,2,3,1,3,1
17,182.0,36880.0,8545.25925925926,43946.0,36.0,2024,2,1582056.0,Premium,2,3,1,3,5
