ID_Venta,Caballos_Fuerza,Precio_Catalogo_Original,Precio_Construccion,Precio_Publico,Cantidad_Vendida,Anio_Venta,ID_Pais_Origen_x,ID_Tipo_Carroceria,ID_Tipo_Combustible,ID_Marca,ID_Pais_Origen_y,ID_Sede,ID_Ciudad_Sede
1,111.0,13495.0,8512.0,14204.0,143.0,2025-01-01,1,1,1,1,1,1,1
2,103.59358288770052,16500.0,9289.0,19214.0,121.0,2026-01-01,1,1,1,1,1,2,2
3,154.0,16500.0,9913.0,19322.0,140.0,2026-01-01,1,2,1,1,1,3,3
4,102.0,13950.0,8361.0,15372.0,147.0,2026-01-01,2,3,1,2,2,2,2
5,115.0,17450.0,12028.0,19539.0,81.0,2026-01-01,2,3,1,2,2,4,2
6,110.0,"$15,250",10560.0,17499.0,138.0,2025-01-01,2,3,1,2,2,5,4
7,110.0,17710.0,10265.0,18723.0,129.0,2026-01-01,2,3,1,2,2,3,3
8,110.0,18920.0,14181.0,22560.0,135.0,2024-01-01,2,4,1,2,2,3,3
9,140.0,"$23,875",14405.0,28244.0,90.0,2026-01-01,2,3,1,2,2,3,3
10,101.0,"$16,430",12246.0,17894.0,178.0,2023-01-01,2,3,1,3,2,2,2
11,101.0,16925.0,10700.0,17810.0,162.0,2023-01-01,2,3,1,3,2,1,1
12,121.0,"$20,970",11672.0,24955.0,106.0,2026-01-01,2,3,1,3,2,6,3
13,121.0,21105.0,13064.0,23746.0,134.0,2026-01-01,2,3,1,3,2,7,5
14,121.0,24565.0,16627.0,27781.0,108.0,2026-01-01,2,3,1,3,2,2,2
15,182.0,"$30,760",21106.0,35454.0,73.0,2026-01-01,2,3,1,3,2,5,4
16,182.0,41315.0,8545.25925925926,47197.0,34.0,2024-01-01,2,3,1,3,2,1,1
17,182.0,36880.0,8545.25925925926,43946.0,36.0,2026-01-01,2,3,1,3,2,7,5
18,48.0,5151.0,3403.0,6138.0,192.0,2026-01-01,3,2,1,4,3,7,5
19,70.0,"$6,295",4208.0,7429.0,195.0,2024-01-01,3,2,1,4,3,8,4
20,70.0,"$6,575",3723.0,7531.0,213.0,2024-01-01,3,3,1,4,3,1,1
21,68.0,"$5,572",3477.0,6520.0,190.0,2024-01-01,3,2,1,5,3,2,2
22,68.0,6377.0,3816.0,7344.0,176.0,2026-01-01,3,2,1,5,3,9,6
23,103.59358288770052,7957.0,5654.0,9039.0,146.0,2024-01-01,3,2,1,5,3,1,1
24,68.0,"$6,229",4012.0,6661.0,215.0,2026-01-01,3,2,1,5,3,5,4
25,68.0,6692.0,4997.0,7841.0,177.0,2026-01-01,3,3,1,5,3,7,5
26,68.0,7609.0,4792.0,8926.0,185.0,2026-01-01,3,3,1,5,3,2,2
27,102.0,8558.0,6104.0,9789.0,202.0,2025-01-01,3,3,1,5,3,1,1
28,88.0,"$8,921",6331.0,10465.0,174.0,2023-01-01,3,4,1,5,3,9,6
29,145.0,12964.0,7521.0,14879.0,150.0,2026-01-01,3,2,1,5,3,9,6
30,58.0,6479.0,8545.25925925926,7004.0,206.0,2026-01-01,4,2,1,6,4,10,3
31,76.0,"$6,855",4724.0,7479.0,189.0,2026-01-01,4,2,1,6,4,3,3
32,60.0,5399.0,3896.0,5843.0,198.0,2025-01-01,4,2,1,6,4,5,4
33,76.0,"$6,529",4017.0,7225.0,161.0,2025-01-01,4,2,1,6,4,1,1
34,76.0,7129.0,4235.0,7527.0,200.0,2026-01-01,4,2,1,6,4,1,1
35,76.0,7295.0,5050.0,8336.0,185.0,2026-01-01,4,3,1,6,4,11,5
36,76.0,7295.0,5193.0,8028.0,160.0,2026-01-01,4,4,1,6,4,12,1
37,86.0,7895.0,4893.0,9066.0,183.0,2026-01-01,4,2,1,6,4,7,5
38,103.59358288770052,9095.0,5177.0,10076.0,141.0,2024-01-01,4,2,1,6,4,3,3
39,86.0,8845.0,6529.0,10192.0,207.0,2025-01-01,4,3,1,6,4,1,1
40,86.0,"$10,295",6481.0,11336.0,150.0,2024-01-01,4,3,1,6,4,1,1
41,101.0,"$12,945",8460.0,14098.0,180.0,2026-01-01,4,3,1,6,4,9,6
42,100.0,"$10,345",8545.25925925926,11632.0,153.0,2024-01-01,4,3,1,6,4,3,3
43,78.0,6785.0,4649.0,7829.0,189.0,2026-01-01,4,3,1,7,4,2,2
44,90.0,11048.0,7701.0,12178.0,150.0,2024-01-01,4,2,1,7,4,3,3
45,176.0,32250.0,19086.0,38394.0,72.0,2024-01-01,5,3,1,8,5,2,2
46,176.0,"$35,550",23402.0,37536.0,57.0,2026-01-01,5,3,1,8,5,9,6
47,262.0,36000.0,24810.0,40057.0,58.0,2025-01-01,5,3,1,8,5,5,4
48,68.0,5195.0,3095.0,6209.0,188.0,2026-01-01,4,2,1,9,4,1,1
49,68.0,6095.0,3566.0,6901.0,164.0,2025-01-01,4,2,1,9,4,9,6
50,68.0,"$6,795",5072.0,7566.0,190.0,2025-01-01,4,2,1,9,4,1,1
51,103.59358288770052,6695.0,4374.0,7601.0,174.0,2026-01-01,4,3,1,9,4,7,5
52,68.0,7395.0,4453.0,8404.0,194.0,2026-01-01,4,3,1,9,4,5,4
53,101.0,10945.0,8201.0,12693.0,158.0,2024-01-01,4,2,1,9,4,5,4
54,103.59358288770052,11845.0,8802.0,12664.0,160.0,2024-01-01,4,2,1,9,4,9,6
55,101.0,"$13,645",9028.0,14839.0,178.0,2024-01-01,4,2,1,9,4,5,4
56,135.0,15645.0,11367.0,17790.0,176.0,2026-01-01,4,2,1,9,4,2,2
57,84.0,8845.0,5199.0,10438.0,182.0,2025-01-01,4,2,1,9,4,5,4
58,84.0,8495.0,5146.0,9636.0,169.0,2026-01-01,4,3,1,9,4,1,1
59,84.0,10595.0,7311.0,11504.0,161.0,2026-01-01,4,2,1,9,4,1,1
60,84.0,10245.0,7370.0,11802.0,153.0,2025-01-01,4,3,1,9,4,14,1
61,64.0,10795.0,7786.0,12533.0,153.0,2025-01-01,4,3,2,9,4,1,1
62,84.0,"$11,245",7094.0,12209.0,159.0,2026-01-01,4,2,1,9,4,2,2
63,120.0,"$18,280",13300.0,20230.0,160.0,2026-01-01,4,3,1,9,4,3,3
64,72.0,18344.0,13211.0,20731.0,126.0,2025-01-01,4,3,2,9,4,7,5
65,123.0,25552.0,18835.0,28733.0,78.0,2026-01-01,2,3,2,10,2,9,6
66,123.0,28248.0,19973.0,31311.0,87.0,2026-01-01,2,4,2,10,2,1,1
67,123.0,28176.0,19267.0,30843.0,91.0,2025-01-01,2,5,2,10,2,5,4
68,123.0,31600.0,21050.0,33654.0,77.0,2025-01-01,2,3,2,10,2,1,1
69,155.0,34184.0,21346.0,36167.0,78.0,2025-01-01,2,3,1,10,2,5,4
70,155.0,35056.0,25872.0,41849.0,44.0,2025-01-01,2,1,1,10,2,7,5
71,184.0,40960.0,30504.0,48213.0,29.0,2026-01-01,2,3,1,10,2,7,5
72,184.0,"$45,400",27548.0,50087.0,1.0,2023-01-01,2,5,1,10,2,7,5
73,175.0,16503.0,10085.0,19697.0,160.0,2024-01-01,3,2,1,11,3,5,4
74,68.0,5389.0,3487.0,6206.0,191.0,2023-01-01,4,2,1,12,4,1,1
75,68.0,"$6,189",3959.0,6946.0,191.0,2026-01-01,4,2,1,12,4,7,5
76,68.0,6669.0,4994.0,7496.0,171.0,2026-01-01,4,2,1,12,4,2,2
77,102.0,"$7,689",4499.0,8170.0,187.0,2026-01-01,4,2,1,12,4,5,4
78,116.0,9959.0,5513.0,10594.0,180.0,2025-01-01,4,2,1,12,4,5,4
79,103.59358288770052,8499.0,5514.0,9692.0,156.0,2026-01-01,4,2,1,12,4,14,1
80,145.0,"$12,629",7398.0,14309.0,130.0,2026-01-01,4,2,1,12,4,5,4
81,145.0,"$14,869",9268.0,16087.0,152.0,2026-01-01,4,2,1,12,4,5,4
82,145.0,14489.0,10125.0,17270.0,136.0,2026-01-01,4,2,1,12,4,7,5
83,88.0,"$6,989",4852.0,8158.0,184.0,2025-01-01,4,3,1,12,4,1,1
84,88.0,8189.0,8545.25925925926,8738.0,158.0,2026-01-01,4,3,1,12,4,7,5
85,116.0,"$9,279",6110.0,11039.0,145.0,2024-01-01,4,3,1,12,4,7,5
86,116.0,9279.0,6048.0,11099.0,171.0,2024-01-01,4,3,1,12,4,1,1
87,69.0,5499.0,3724.0,6595.0,181.0,2026-01-01,4,3,1,13,4,9,6
88,55.0,7099.0,8545.25925925926,7513.0,151.0,2025-01-01,4,3,2,13,4,7,5
89,69.0,6649.0,4441.0,7717.0,202.0,2024-01-01,4,3,1,13,4,2,2
90,69.0,6849.0,8545.25925925926,7752.0,162.0,2025-01-01,4,3,1,13,4,2,2
91,69.0,7349.0,4757.0,8495.0,217.0,2026-01-01,4,4,1,13,4,5,4
92,69.0,7299.0,5337.0,8724.0,168.0,2025-01-01,4,3,1,13,4,2,2
93,69.0,7799.0,4967.0,8994.0,182.0,2026-01-01,4,2,1,13,4,5,4
94,69.0,7499.0,4649.0,8815.0,202.0,2026-01-01,4,3,1,13,4,15,6
95,69.0,7999.0,5431.0,9439.0,197.0,2026-01-01,4,4,1,13,4,1,1
96,69.0,8249.0,5641.0,9699.0,203.0,2025-01-01,4,5,1,13,4,1,1
97,97.0,8949.0,6469.0,9968.0,150.0,2026-01-01,4,2,1,13,4,1,1
98,97.0,9549.0,5692.0,10345.0,154.0,2026-01-01,4,3,1,13,4,16,2
99,152.0,"$13,499",8772.0,14977.0,156.0,2026-01-01,4,3,1,13,4,9,6
100,152.0,14399.0,9567.0,17045.0,156.0,2023-01-01,4,4,1,13,4,2,2
101,152.0,13499.0,9499.0,14471.0,154.0,2025-01-01,4,3,1,13,4,2,2
102,160.0,17199.0,9609.0,19383.0,110.0,2024-01-01,4,2,1,13,4,9,6
103,200.0,19699.0,14753.0,21373.0,134.0,2023-01-01,4,2,1,13,4,9,6
104,160.0,"$18,399",11849.0,20923.0,125.0,2025-01-01,4,2,1,13,4,9,6
105,97.0,"$11,900",7210.0,14036.0,153.0,2026-01-01,6,3,1,14,6,9,6
106,95.0,13200.0,9592.0,15603.0,115.0,2026-01-01,6,3,2,14,6,1,1
107,97.0,12440.0,8702.0,13504.0,170.0,2023-01-01,6,4,1,14,6,3,3
108,95.0,13860.0,10265.0,16440.0,148.0,2026-01-01,6,4,2,14,6,3,3
109,95.0,15580.0,9600.0,17742.0,168.0,2026-01-01,6,3,1,14,6,9,6
110,95.0,16900.0,11163.0,18633.0,136.0,2026-01-01,6,3,2,14,6,3,3
111,95.0,16695.0,11093.0,19303.0,143.0,2026-01-01,6,4,1,14,6,3,3
112,95.0,17075.0,12739.0,19162.0,148.0,2025-01-01,6,4,2,14,6,9,6
113,97.0,16630.0,9397.0,18404.0,112.0,2026-01-01,6,3,1,14,6,6,3
114,95.0,17950.0,10970.0,20746.0,168.0,2026-01-01,6,3,2,14,6,2,2
115,142.0,"$18,150",10676.0,19735.0,126.0,2024-01-01,6,3,1,14,6,5,4
116,103.59358288770052,5572.0,3364.0,6127.0,195.0,2023-01-01,3,2,1,15,3,5,4
117,102.0,7957.0,5149.0,8873.0,186.0,2026-01-01,3,2,1,15,3,9,6
118,68.0,6229.0,3890.0,6777.0,173.0,2026-01-01,3,2,1,15,3,18,1
119,68.0,6692.0,4209.0,7433.0,210.0,2026-01-01,3,3,1,15,3,9,6
120,68.0,7609.0,8545.25925925926,8642.0,182.0,2026-01-01,3,3,1,15,3,1,1
121,88.0,8921.0,6566.0,10359.0,168.0,2026-01-01,3,4,1,15,3,5,4
122,145.0,12764.0,7200.0,14871.0,155.0,2024-01-01,3,2,1,15,3,9,6
123,103.59358288770052,22018.0,13030.0,25836.0,120.0,2026-01-01,2,2,1,16,2,7,5
124,207.0,32528.0,22257.0,37786.0,60.0,2026-01-01,2,5,1,16,2,2,2
125,207.0,34028.0,21156.0,39206.0,67.0,2023-01-01,2,5,1,16,2,3,3
126,207.0,"$37,028",22248.0,40199.0,25.0,2026-01-01,2,1,1,16,2,1,1
127,103.59358288770052,"$9,295",5661.0,10318.0,160.0,2026-01-01,6,4,1,17,6,7,5
128,103.59358288770052,9895.0,6081.0,11099.0,136.0,2025-01-01,6,2,1,17,6,3,3
