ID_Venta,Marca,Pais_Origen,Tipo_Carroceria,Tipo_Combustible,Caballos_Fuerza,Precio_Catalogo_Original,Sede,Ciudad_Sede,Precio_Construccion,Precio_Publico,Cantidad_Vendida,Anio_Venta
1,alfa-romero,Italia,convertible,gas,111.0,13495.0,CarWorld Pacifico, cali  ,8512.0,14204.0,143,2025
2,ALFA-ROMERO,ITALIA, convertible  ,gas,103.59358288770053,16500.0,VelocityMotors,  BUCARAMANGA   ,9289.0,19214.0,121,2023.0
3,Alfa-Romero,Italia,HATCHBACK,gas,154.0,16500.0,DriveHub Caribe,BARRANQUILLA,9913.0,19322.0,140,2026
4,AUDI,alemania, sedan  ,GAS,102.0,13950.0, VelocityMotors  ,Bucaramanga,8361.0,15372.0,147,2026
5,Audi,Alemania,sedan,GAS,115.0,17450.0,VelocityMotor,Bucaramanga,12028.0,19539.0,81,2023.0
6,audi,Alemania,sedan,gas,110.0,"$15,250",MOTORCENTER SUR,Medellin,10560.0,17499.0,138 u,2025
7, AUDI  ,ALEMANIA,SEDAN,GAS,110.0,17710.0,DriveHub Caribe,  barranquilla  ,10265.0,18723.0,129,2026
8, Audi  ,Alemania,WAGON,GAS,110.0,18920.0,drivehub caribe,BARRANQUILLA,14181.0,22560.0,135,2024
9,AUDI,Alemania,SEDAN,GAS,140.0,"$23,875",DriveHub Caribe,barranquilla,14405.0,"$28,244",90,01/01/2023
10,bmw,ALEMANIA,sedan,Gas,101.0,"$16,430",VelocityMotors,bucaramanga,12246.0,17894.0,178,2023
11,BMW,alemania,SEDAN,gas,101.0,16925.0,carworld pacifico,CALI,10700.0,17810.0,162,2023
12,BMW,Alemania,SEDAN,gas,121.0,"$20,970",Drive Hub Caribe, barranquilla  ,11672.0,"$24,955",106,2026
13,  bmw   ,ALEMANIA, sedan  ,gas,121.0,21105.0,PrimeAuto Andino,pereira,13064.0,23746.0,134 u,2026.0
14,Bmw,Alemania,Sedan,gas,121.0,24565.0,VelocityMotors,Bucaramanga,16627.0,27781.0,108 u,2023.0
15,BMW,alemania,  sedan  ,gas,182.0,"$30,760",MOTORCENTER SUR,Medellin,21106.0,35454.0,73,2024.0
16,BMW,Alemania,sedan,GAS,182.0,41315.0,CARWORLD PACIFICO,Bucaramanga,8545.25925925926,47197.0,34,2024
17,Bmw,ALEMANIA,sedan,GAS,182.0,36880.0,PRIMEAUTO ANDINO,PEREIRA,8545.25925925926,"$43,946",36,01/01/2024
18,Chevrolet,Estados Unidos, hatchback  ,gas,48.0,5151.0,PrimeAuto Andino,Pereira,3403.0,"$6,138",192 unidades,2026
19,Chevrolet,Estados Unidos,Hatchback,gas,70.0,"$6,295",Motor Center Sur,medellin,4208.0,7429.0,195,2024
20,chevrolet,ESTADOS UNIDOS,sedan,gas,70.0,"$6,575",CARWORLD PACIFICO,  cali   ,3723.0,"$7,531",213,2024
21,Dodge,estados unidos,hatchback,GAS,68.0,"$5,572",VelocityMotors,  BUCARAMANGA   ,3477.0,6520.0,190 u,2024
